produit_id,mois_offset,quantite_commandee_emp,commande_passee_emp,stock_final_emp,rupture_emp,demande_prevue,cout_achat
P0220,2,36,1,0.0,23.47234343869644,23.47234343869644,130.0
P0220,3,36,1,16.44404683091758,0.0,19.55595316908242,130.0
P0220,4,0,0,38.70341458156194,0.0,13.74063224935564,130.0
P0220,5,0,0,61.36949663975723,0.0,13.333917941804698,130.0
P0220,6,0,0,48.72867896129435,0.0,12.640817678462883,130.0
P0006,1,25,1,10.760219591392422,0.0,4.239780408607578,145.0
P0006,2,0,0,29.880340843894757,0.0,5.879878747497662,145.0
P0006,3,0,0,23.650499827552334,0.0,6.229841016342422,145.0
P0006,4,25,1,1.2638873828328308,0.0,22.386612444719503,145.0
P0006,5,25,1,0.0,4.323237069313969,30.5871244521468,145.0
P0006,6,0,0,22.233708597600447,0.0,2.766291402399551,145.0
P0223,1,0,0,9.0,0.0,0.0,1235.0
P0223,2,0,0,9.0,0.0,0.0,1235.0
P0223,3,0,0,9.0,0.0,0.0,1235.0
P0223,4,0,0,9.0,0.0,0.0,1235.0
P0223,5,0,0,9.0,0.0,0.0,1235.0
P0223,6,0,0,9.0,0.0,0.0,1235.0
P0095,1,48,1,0.0,25.744116602998837,44.74411660299884,75.0
P0095,2,48,1,0.0,34.900602466205996,34.900602466205996,75.0
P0095,3,0,0,32.28509335718222,0.0,15.714906642817782,75.0
P0095,4,0,0,61.823809229727054,0.0,18.461284127455166,75.0
P0095,5,0,0,47.92052074281775,0.0,13.903288486909304,75.0
P0095,6,0,0,31.97373520017824,0.0,15.94678554263951,75.0
P0145,1,101,1,0.0,32.52335616331208,52.52335616331208,28.0
P0145,2,101,1,0.0,68.48665318918157,68.48665318918157,28.0
P0145,3,0,0,52.70956102042441,0.0,48.29043897957559,28.0
P0145,4,0,0,115.89816180427684,0.0,37.81139921614758,28.0
P0145,5,0,0,69.03496369984254,0.0,46.863198104434304,28.0
P0145,6,101,1,22.68656075882879,0.0,46.348402941013745,28.0
P0074,1,0,0,2.902128911075221,0.0,3.097871088924779,1190.0
P0074,2,0,0,2.902128911075221,0.0,0.0,1190.0
P0074,3,3,1,0.0,0.09658406155879762,2.9987129726340185,1190.0
P0074,4,0,0,2.559276500997154,0.0,0.44072349900284585,1190.0
P0074,5,0,0,1.9736122369483957,0.0,0.5856642640487583,1190.0
P0074,6,0,0,1.9276858699650794,0.0,0.04592636698331628,1190.0
P0114,1,0,0,16.0,0.0,0.0,135.0
P0114,2,0,0,16.0,0.0,0.0,135.0
P0114,3,0,0,16.0,0.0,0.0,135.0
P0114,4,0,0,16.0,0.0,0.0,135.0
P0114,5,0,0,16.0,0.0,0.0,135.0
P0114,6,0,0,16.0,0.0,0.0,135.0
P0159,1,86,1,0.0,16.26459062388377,38.26459062388377,28.0
P0159,2,86,1,0.0,61.74350950733143,61.74350950733143,28.0
P0159,3,86,1,32.81727851385599,0.0,53.18272148614401,28.0
P0159,4,0,0,80.35909087809023,0.0,38.45818763576577,28.0
P0159,5,0,0,138.0199438237521,0.0,28.339147054338124,28.0
P0159,6,0,0,102.122258355806,0.0,35.897685467946104,28.0
P0075,1,0,0,3.8721557202966586,0.0,1.1278442797033414,850.0
P0075,2,0,0,3.7113562491461147,0.0,0.16079947115054397,850.0
P0075,3,0,0,3.7113562491461147,0.0,0.0,850.0
P0075,4,5,1,1.385484133121341,0.0,2.3258721160247737,850.0
P0075,5,0,0,2.722502088599372,0.0,3.6629820445219696,850.0
