produit_id,mois_offset,quantite_commandee,stock_final,rupture,demande_prevue,commande_passee,classe_abc,cout_achat,lead_time_mois
P0186,5,13,0.0,0.0,8.62377312899433,1,A,152.0,1
P0186,6,0,0.0,0.0,12.584575897575736,0,A,152.0,1
P0090,1,0,8.9792881,0.0,4.020711949336361,0,A,280.0,1
P0090,2,2,4.153883,0.0,4.825405077270554,1,A,280.0,1
P0090,3,10,0.0,0.0,6.615023045293357,1,A,280.0,1
P0090,4,10,0.0,0.0,9.944281207085353,1,A,280.0,1
P0090,5,5,0.0,0.0,9.571914067940806,1,A,280.0,1
P0090,6,0,0.0,0.0,4.805179240981067,0,A,280.0,1
P0112,1,28,9.4983424,0.0,22.50165758138601,1,B,88.0,2
P0112,2,9,0.0,14.357585,23.855927285485272,1,B,88.0,2
P0112,3,15,0.0,0.0,27.74224639582349,1,B,88.0,2
P0112,4,25,0.0,0.0,8.787301201238622,1,B,88.0,2
P0112,5,0,0.0,0.0,14.764439303894006,0,B,88.0,2
P0112,6,0,0.0,0.0,25.08999336070892,0,B,88.0,2
P0089,1,5,0.86449364,0.0,4.135506358640902,1,B,360.0,1
P0089,2,1,0.0,0.0,5.97749403963943,1,B,360.0,1
P0089,3,4,0.0,0.0,0.6470593425560632,1,B,360.0,1
P0089,4,6,0.0,0.0,4.104504537171437,1,B,360.0,1
P0089,5,6,0.0,0.0,6.126559908312832,1,B,360.0,1
P0089,6,0,0.0,0.0,6.197805375657894,0,B,360.0,1
P0054,1,0,11.002927,0.0,2.997073124894699,0,B,320.0,1
P0054,2,1,6.7189044,0.0,4.284022445023055,1,B,320.0,1
P0054,3,3,0.0,0.0,7.226066757831113,1,B,320.0,1
P0054,4,6,0.0,0.0,3.269102045371623,1,B,320.0,1
P0054,5,7,0.0,0.0,5.764409090024999,1,B,320.0,1
P0054,6,0,0.0,0.0,7.456370304206097,0,B,320.0,1
P0038,1,0,5.0415158,0.0,3.9584842097103268,0,B,680.0,1
P0038,2,0,3.1570214,0.0,1.8844943494639526,0,B,680.0,1
P0038,3,0,2.7329886,0.0,0.4240328348208502,0,B,680.0,1
P0038,4,0,2.7329886,0.0,0.0,0,B,680.0,1
P0038,5,3,0.0,0.0,3.0399334537837617,1,B,680.0,1
P0038,6,0,0.0,0.0,3.26378356448731,0,B,680.0,1
P0158,1,42,0.0,25.454541,41.454541256051556,1,B,32.0,1
P0158,2,51,0.0,0.0,42.292722787739685,1,B,32.0,1
P0158,3,53,0.0,0.0,51.080833407569166,1,B,32.0,1
P0158,4,46,0.0,0.0,53.04151085387555,1,B,32.0,1
P0158,5,53,0.0,0.0,46.30351312525707,1,B,32.0,1
P0158,6,0,0.0,0.0,53.46416410609517,0,B,32.0,1
